rooms, area, floor, year, bathrooms, kitchens, link, zone, price
1, 28, 1, 1969, 1, 1, https://www.titirez.ro/inchirieri-garsoniere/iasi/tatarasi/garsoniera-de-inchiriat-iris-imobiliare-175bn, Zona Tatarasi, 200
2, 42, 6, 2019, 8, 0, https://www.titirez.ro/inchirieri-apartamente/iasi/pacurari/apartament-de-inchiriat-2-camere-premier-grup-est-1756f, Zona Pacurari, 300
1, 44, 5, 1990, 1, 0, https://www.titirez.ro/inchirieri-garsoniere/iasi/pacurari/garsoniera-de-inchiriat-premier-grup-est-173os, Zona Pacurari, 250
1, 26, 0, 1976, 1, 0, https://www.titirez.ro/inchirieri-garsoniere/iasi/iasi/garsoniera-de-inchiriat-premier-grup-est-16vy2, Zona Iasi, 200
3, 65, 2, 2016, 1, 1, https://www.titirez.ro/inchirieri-apartamente/iasi/centrul-civic/apartament-de-inchiriat-3-camere-tnt-imobiliare-iasi-16q9c, Zona Centrul Civic, 450
1, 37, 2, 2015, 1, 1, https://www.titirez.ro/inchirieri-garsoniere/iasi/tatarasi/garsoniera-de-inchiriat-tnt-imobiliare-iasi-16qj9, Zona Tatarasi, 260
2, 45, 6, 1985, 1, 1, https://www.titirez.ro/inchirieri-apartamente/iasi/zona-centrala/apartament-de-inchiriat-2-camere-tnt-imobiliare-iasi-16qbl, Zona Zona Centrala, 350
2, 50, 4, 1980, 1, 1, https://www.titirez.ro/inchirieri-apartamente/iasi/podu-ros/apartament-de-inchiriat-2-camere-tnt-imobiliare-iasi-16qjo, Zona Podu Ros, 288
1, 35, 1, 1985, 1, 0, https://www.titirez.ro/inchirieri-garsoniere/iasi/tatarasi/garsoniera-de-inchiriat-tnt-imobiliare-iasi-16pm9, Zona Tatarasi, 280
1, 25, 1, 2016, 1, 1, https://www.titirez.ro/inchirieri-garsoniere/iasi/pacurari/garsoniera-de-inchiriat-tnt-imobiliare-iasi-16p12, Zona Pacurari, 210
2, 60, 5, 2019, 1, 1, https://www.titirez.ro/inchirieri-apartamente/iasi/tesatura/apartament-de-inchiriat-2-camere-cabinet-imobiliar-14t7w, Zona Tesatura, 410
2, 60, 3, 2012, 1, 1, https://www.titirez.ro/inchirieri-apartamente/iasi/piata-voievozilor/apartament-de-inchiriat-2-camere-casa-alba-16ru0, Zona Piata Voievozilor, 430
2, 63, 1, 1960, 0, 0, https://www.titirez.ro/inchirieri-apartamente/iasi/copou/apartament-de-inchiriat-2-camere-casa-alba-16mng, Zona Copou, 350
2, 53, 6, 2020, 0, 0, https://www.titirez.ro/inchirieri-apartamente/iasi/nicolina/apartament-de-inchiriat-2-camere-casa-alba-165k0, Zona Nicolina, 400
2, 54, 0, 2019, 1, 0, https://www.titirez.ro/inchirieri-apartamente/iasi/copou/apartament-de-inchiriat-2-camere-fidelia-casa-16fg1, Zona Copou, 450
1, 28, 1, 1969, 1, 1, https://www.titirez.ro/inchirieri-garsoniere/iasi/tatarasi/garsoniera-de-inchiriat-iris-imobiliare-175bn, Zona Tatarasi, 200
2, 42, 6, 2019, 8, 0, https://www.titirez.ro/inchirieri-apartamente/iasi/pacurari/apartament-de-inchiriat-2-camere-premier-grup-est-1756f, Zona Pacurari, 300
1, 44, 5, 1990, 1, 0, https://www.titirez.ro/inchirieri-garsoniere/iasi/pacurari/garsoniera-de-inchiriat-premier-grup-est-173os, Zona Pacurari, 250
1, 26, 0, 1976, 1, 0, https://www.titirez.ro/inchirieri-garsoniere/iasi/iasi/garsoniera-de-inchiriat-premier-grup-est-16vy2, Zona Iasi, 200
3, 65, 2, 2016, 1, 1, https://www.titirez.ro/inchirieri-apartamente/iasi/centrul-civic/apartament-de-inchiriat-3-camere-tnt-imobiliare-iasi-16q9c, Zona Centrul Civic, 450
1, 37, 2, 2015, 1, 1, https://www.titirez.ro/inchirieri-garsoniere/iasi/tatarasi/garsoniera-de-inchiriat-tnt-imobiliare-iasi-16qj9, Zona Tatarasi, 260
2, 45, 6, 1985, 1, 1, https://www.titirez.ro/inchirieri-apartamente/iasi/zona-centrala/apartament-de-inchiriat-2-camere-tnt-imobiliare-iasi-16qbl, Zona Zona Centrala, 350
2, 50, 4, 1980, 1, 1, https://www.titirez.ro/inchirieri-apartamente/iasi/podu-ros/apartament-de-inchiriat-2-camere-tnt-imobiliare-iasi-16qjo, Zona Podu Ros, 288
1, 35, 1, 1985, 1, 0, https://www.titirez.ro/inchirieri-garsoniere/iasi/tatarasi/garsoniera-de-inchiriat-tnt-imobiliare-iasi-16pm9, Zona Tatarasi, 280
