LotArea,LotConfig,Zone,Floors,OverallCond,YearBuilt,Rooms,SaleCondition,SalePrice
8450,Inside,CollgCr,2Story,5,2003,8,Normal,208500
9600,FR2,Veenker,1Story,8,1976,6,Normal,181500
11250,Inside,CollgCr,2Story,5,2001,6,Normal,223500
9550,Corner,Crawfor,2Story,5,1915,7,Abnorml,140000
14260,FR2,NoRidge,2Story,5,2000,9,Normal,250000
14115,Inside,Mitchel,1.5Fin,5,1993,5,Normal,143000
10084,Inside,Somerst,1Story,5,2004,7,Normal,307000
10382,Corner,NWAmes,2Story,6,1973,7,Normal,200000
6120,Inside,OldTown,1.5Fin,5,1931,8,Abnorml,129900
7420,Corner,BrkSide,1.5Unf,6,1939,5,Normal,118000
11200,Inside,Sawyer,1Story,5,1965,5,Normal,129500
11924,Inside,NridgHt,2Story,5,2005,11,Partial,345000
12968,Inside,Sawyer,1Story,6,1962,4,Normal,144000
10652,Inside,CollgCr,1Story,5,2006,7,Partial,279500
10920,Corner,NAmes,1Story,5,1960,5,Normal,157000
6120,Corner,BrkSide,1.5Unf,8,1929,5,Normal,132000
11241,CulDSac,NAmes,1Story,7,1970,5,Normal,149000
10791,Inside,Sawyer,1Story,5,1967,6,Normal,90000
13695,Inside,SawyerW,1Story,5,2004,6,Normal,159000
7560,Inside,NAmes,1Story,6,1958,6,Abnorml,139000
14215,Corner,NridgHt,2Story,5,2005,9,Partial,325300
7449,Inside,IDOTRR,1.5Unf,7,1930,6,Normal,139400
9742,Inside,CollgCr,1Story,5,2002,7,Normal,230000
4224,Inside,MeadowV,1Story,7,1976,6,Normal,129900
8246,Inside,Sawyer,1Story,8,1968,6,Normal,154000
14230,Corner,NridgHt,1Story,5,2007,7,Normal,256300
7200,Corner,NAmes,1Story,7,1951,5,Normal,134800
11478,Inside,NridgHt,1Story,5,2007,7,Normal,306000
16321,CulDSac,NAmes,1Story,6,1957,6,Normal,207500
6324,Inside,BrkSide,1Story,6,1927,4,Normal,68500
